,fileID,platform,flightDirection,centerLat,centerLon,startTime
0,S1B_EW_GRDM_1SDH_20161231T235652_20161231T235749_003647_00640F_FE7E-GRD_MD,Sentinel-1B,DESCENDING,74.7488,106.1149,2016-12-31 23:56:52.000000
1,S1B_EW_GRDM_1SDH_20161231T235652_20161231T235749_003647_00640F_FE7E-METADATA_GRD_MD,Sentinel-1B,DESCENDING,74.7488,106.1149,2016-12-31 23:56:52.000000
2,S1B_EW_RAW__0SDH_20161231T235648_20161231T235748_003647_00640F_C1D1-METADATA_RAW,Sentinel-1B,DESCENDING,74.7983,106.3775,2016-12-31 23:56:48.000000
3,S1B_EW_RAW__0SDH_20161231T235648_20161231T235748_003647_00640F_C1D1-RAW,Sentinel-1B,DESCENDING,74.7983,106.3775,2016-12-31 23:56:48.000000
4,S1B_EW_RAW__0SDH_20161231T235548_20161231T235656_003647_00640F_95CF-METADATA_RAW,Sentinel-1B,DESCENDING,78.0089,111.4157,2016-12-31 23:55:48.000000
5,S1B_EW_RAW__0SDH_20161231T235548_20161231T235656_003647_00640F_95CF-RAW,Sentinel-1B,DESCENDING,78.0089,111.4157,2016-12-31 23:55:48.000000
6,S1B_EW_GRDM_1SDH_20161231T235547_20161231T235652_003647_00640F_6234-GRD_MD,Sentinel-1B,DESCENDING,78.1871,111.5744,2016-12-31 23:55:47.000000
7,S1B_EW_GRDM_1SDH_20161231T235547_20161231T235652_003647_00640F_6234-METADATA_GRD_MD,Sentinel-1B,DESCENDING,78.1871,111.5744,2016-12-31 23:55:47.000000
8,S1A_WV_OCN__2SSV_20161231T232905_20161231T234726_014630_017C9C_F36C-METADATA_OCN,Sentinel-1A,DESCENDING,-32.0045,86.7143,2016-12-31 23:29:05.000000
9,S1A_WV_OCN__2SSV_20161231T232905_20161231T234726_014630_017C9C_F36C-OCN,Sentinel-1A,DESCENDING,-32.0045,86.7143,2016-12-31 23:29:05.000000
10,S1B_EW_GRDM_1SDH_20161231T234605_20161231T234658_003647_00640E_C511-GRD_MD,Sentinel-1B,ASCENDING,65.3934,-95.1992,2016-12-31 23:46:05.000000
11,S1B_EW_GRDM_1SDH_20161231T234605_20161231T234658_003647_00640E_C511-METADATA_GRD_MD,Sentinel-1B,ASCENDING,65.3934,-95.1992,2016-12-31 23:46:05.000000
12,S1B_EW_RAW__0SDH_20161231T234600_20161231T234658_003647_00640E_C749-METADATA_RAW,Sentinel-1B,ASCENDING,65.1554,-95.2083,2016-12-31 23:46:00.000000
13,S1B_EW_RAW__0SDH_20161231T234600_20161231T234658_003647_00640E_C749-RAW,Sentinel-1B,ASCENDING,65.1554,-95.2083,2016-12-31 23:46:00.000000
14,S1B_EW_RAW__0SDH_20161231T234500_20161231T234609_003647_00640E_627E-METADATA_RAW,Sentinel-1B,ASCENDING,61.8976,-93.603,2016-12-31 23:45:00.000000
15,S1B_EW_RAW__0SDH_20161231T234500_20161231T234609_003647_00640E_627E-RAW,Sentinel-1B,ASCENDING,61.8976,-93.603,2016-12-31 23:45:00.000000
16,S1B_EW_GRDM_1SDH_20161231T234500_20161231T234605_003647_00640E_D498-GRD_MD,Sentinel-1B,ASCENDING,61.897,-93.4384,2016-12-31 23:45:00.000000
17,S1B_EW_GRDM_1SDH_20161231T234500_20161231T234605_003647_00640E_D498-METADATA_GRD_MD,Sentinel-1B,ASCENDING,61.897,-93.4384,2016-12-31 23:45:00.000000
18,S1B_IW_GRDH_1SDV_20161231T234437_20161231T234456_003647_00640D_1307-GRD_HD,Sentinel-1B,ASCENDING,59.2518,-91.2592,2016-12-31 23:44:37.000000
19,S1B_IW_GRDH_1SDV_20161231T234437_20161231T234456_003647_00640D_1307-METADATA_GRD_HD,Sentinel-1B,ASCENDING,59.2518,-91.2592,2016-12-31 23:44:37.000000
20,S1B_IW_SLC__1SDV_20161231T234435_20161231T234456_003647_00640D_41B3-METADATA_SLC,Sentinel-1B,ASCENDING,59.2102,-91.2509,2016-12-31 23:44:35.000000
21,S1B_IW_SLC__1SDV_20161231T234435_20161231T234456_003647_00640D_41B3-SLC,Sentinel-1B,ASCENDING,59.2102,-91.2509,2016-12-31 23:44:35.000000
22,S1B_IW_RAW__0SDV_20161231T234433_20161231T234455_003647_00640D_FA33-METADATA_RAW,Sentinel-1B,ASCENDING,58.9778,-91.2924,2016-12-31 23:44:33.000000
23,S1B_IW_RAW__0SDV_20161231T234433_20161231T234455_003647_00640D_FA33-RAW,Sentinel-1B,ASCENDING,58.9778,-91.2924,2016-12-31 23:44:33.000000
24,S1B_IW_RAW__0SDV_20161231T234408_20161231T234440_003647_00640D_44CA-METADATA_RAW,Sentinel-1B,ASCENDING,57.7749,-90.8679,2016-12-31 23:44:08.000000
25,S1B_IW_RAW__0SDV_20161231T234408_20161231T234440_003647_00640D_44CA-RAW,Sentinel-1B,ASCENDING,57.7749,-90.8679,2016-12-31 23:44:08.000000
26,S1B_IW_GRDH_1SDV_20161231T234412_20161231T234437_003647_00640D_9C12-GRD_HD,Sentinel-1B,ASCENDING,57.9347,-90.7849,2016-12-31 23:44:12.000000
27,S1B_IW_GRDH_1SDV_20161231T234412_20161231T234437_003647_00640D_9C12-METADATA_GRD_HD,Sentinel-1B,ASCENDING,57.9347,-90.7849,2016-12-31 23:44:12.000000
28,S1B_IW_SLC__1SDV_20161231T234410_20161231T234437_003647_00640D_93BA-METADATA_SLC,Sentinel-1B,ASCENDING,57.9202,-90.7874,2016-12-31 23:44:10.000000
29,S1B_IW_SLC__1SDV_20161231T234410_20161231T234437_003647_00640D_93BA-SLC,Sentinel-1B,ASCENDING,57.9202,-90.7874,2016-12-31 23:44:10.000000
30,S1B_IW_RAW__0SDV_20161231T234343_20161231T234415_003647_00640D_EF30-METADATA_RAW,Sentinel-1B,ASCENDING,56.277,-90.367,2016-12-31 23:43:43.000000
31,S1B_IW_RAW__0SDV_20161231T234343_20161231T234415_003647_00640D_EF30-RAW,Sentinel-1B,ASCENDING,56.277,-90.367,2016-12-31 23:43:43.000000
32,S1B_IW_GRDH_1SDV_20161231T234347_20161231T234412_003647_00640D_8C6B-GRD_HD,Sentinel-1B,ASCENDING,56.4442,-90.2751,2016-12-31 23:43:47.000000
33,S1B_IW_GRDH_1SDV_20161231T234347_20161231T234412_003647_00640D_8C6B-METADATA_GRD_HD,Sentinel-1B,ASCENDING,56.4442,-90.2751,2016-12-31 23:43:47.000000
34,S1B_IW_SLC__1SDV_20161231T234345_20161231T234412_003647_00640D_676C-METADATA_SLC,Sentinel-1B,ASCENDING,56.4404,-90.2809,2016-12-31 23:43:45.000000
35,S1B_IW_SLC__1SDV_20161231T234345_20161231T234412_003647_00640D_676C-SLC,Sentinel-1B,ASCENDING,56.4404,-90.2809,2016-12-31 23:43:45.000000
36,S1B_IW_RAW__0SDV_20161231T234318_20161231T234350_003647_00640D_78A8-METADATA_RAW,Sentinel-1B,ASCENDING,54.7779,-89.8909,2016-12-31 23:43:18.000000
37,S1B_IW_RAW__0SDV_20161231T234318_20161231T234350_003647_00640D_78A8-RAW,Sentinel-1B,ASCENDING,54.7779,-89.8909,2016-12-31 23:43:18.000000
38,S1B_IW_SLC__1SDV_20161231T234321_20161231T234348_003647_00640D_9CB5-METADATA_SLC,Sentinel-1B,ASCENDING,54.9589,-89.8012,2016-12-31 23:43:21.000000
39,S1B_IW_SLC__1SDV_20161231T234321_20161231T234348_003647_00640D_9CB5-SLC,Sentinel-1B,ASCENDING,54.9589,-89.8012,2016-12-31 23:43:21.000000
40,S1B_IW_GRDH_1SDV_20161231T234322_20161231T234347_003647_00640D_7C89-GRD_HD,Sentinel-1B,ASCENDING,54.9525,-89.7889,2016-12-31 23:43:22.000000
41,S1B_IW_GRDH_1SDV_20161231T234322_20161231T234347_003647_00640D_7C89-METADATA_GRD_HD,Sentinel-1B,ASCENDING,54.9525,-89.7889,2016-12-31 23:43:22.000000
42,S1B_IW_RAW__0SDV_20161231T234253_20161231T234325_003647_00640D_2765-METADATA_RAW,Sentinel-1B,ASCENDING,53.2777,-89.4362,2016-12-31 23:42:53.000000
43,S1B_IW_RAW__0SDV_20161231T234253_20161231T234325_003647_00640D_2765-RAW,Sentinel-1B,ASCENDING,53.2777,-89.4362,2016-12-31 23:42:53.000000
44,S1B_IW_SLC__1SDV_20161231T234256_20161231T234323_003647_00640D_C99C-METADATA_SLC,Sentinel-1B,ASCENDING,53.4765,-89.3409,2016-12-31 23:42:56.000000
45,S1B_IW_SLC__1SDV_20161231T234256_20161231T234323_003647_00640D_C99C-SLC,Sentinel-1B,ASCENDING,53.4765,-89.3409,2016-12-31 23:42:56.000000
46,S1B_IW_GRDH_1SDV_20161231T234257_20161231T234322_003647_00640D_AB0A-GRD_HD,Sentinel-1B,ASCENDING,53.4596,-89.325,2016-12-31 23:42:57.000000
47,S1B_IW_GRDH_1SDV_20161231T234257_20161231T234322_003647_00640D_AB0A-METADATA_GRD_HD,Sentinel-1B,ASCENDING,53.4596,-89.325,2016-12-31 23:42:57.000000
48,S1B_IW_RAW__0SDV_20161231T234228_20161231T234300_003647_00640D_2C61-METADATA_RAW,Sentinel-1B,ASCENDING,51.7764,-89.0004,2016-12-31 23:42:28.000000
49,S1B_IW_RAW__0SDV_20161231T234228_20161231T234300_003647_00640D_2C61-RAW,Sentinel-1B,ASCENDING,51.7764,-89.0004,2016-12-31 23:42:28.000000
50,S1B_IW_SLC__1SDV_20161231T234230_20161231T234258_003647_00640D_C8BE-METADATA_SLC,Sentinel-1B,ASCENDING,51.9645,-88.8922,2016-12-31 23:42:30.000000
51,S1B_IW_SLC__1SDV_20161231T234230_20161231T234258_003647_00640D_C8BE-SLC,Sentinel-1B,ASCENDING,51.9645,-88.8922,2016-12-31 23:42:30.000000
52,S1B_IW_GRDH_1SDV_20161231T234232_20161231T234257_003647_00640D_E594-GRD_HD,Sentinel-1B,ASCENDING,51.9654,-88.8811,2016-12-31 23:42:32.000000
53,S1B_IW_GRDH_1SDV_20161231T234232_20161231T234257_003647_00640D_E594-METADATA_GRD_HD,Sentinel-1B,ASCENDING,51.9654,-88.8811,2016-12-31 23:42:32.000000
54,S1B_IW_RAW__0SDV_20161231T234203_20161231T234235_003647_00640D_A088-METADATA_RAW,Sentinel-1B,ASCENDING,50.2741,-88.5811,2016-12-31 23:42:03.000000
55,S1B_IW_RAW__0SDV_20161231T234203_20161231T234235_003647_00640D_A088-RAW,Sentinel-1B,ASCENDING,50.2741,-88.5811,2016-12-31 23:42:03.000000
56,S1B_IW_GRDH_1SDV_20161231T234203_20161231T234232_003647_00640D_DB6C-GRD_HD,Sentinel-1B,ASCENDING,50.3497,-88.4209,2016-12-31 23:42:03.000000
57,S1B_IW_GRDH_1SDV_20161231T234203_20161231T234232_003647_00640D_DB6C-METADATA_GRD_HD,Sentinel-1B,ASCENDING,50.3497,-88.4209,2016-12-31 23:42:03.000000
58,S1B_IW_SLC__1SDV_20161231T234202_20161231T234232_003647_00640D_0818-METADATA_SLC,Sentinel-1B,ASCENDING,50.3724,-88.4398,2016-12-31 23:42:02.000000
59,S1B_IW_SLC__1SDV_20161231T234202_20161231T234232_003647_00640D_0818-SLC,Sentinel-1B,ASCENDING,50.3724,-88.4398,2016-12-31 23:42:02.000000
60,S1B_EW_GRDM_1SDV_20161231T234049_20161231T234155_003647_00640C_F824-GRD_MD,Sentinel-1B,ASCENDING,46.9244,-88.3665,2016-12-31 23:40:49.000000
61,S1B_EW_GRDM_1SDV_20161231T234049_20161231T234155_003647_00640C_F824-METADATA_GRD_MD,Sentinel-1B,ASCENDING,46.9244,-88.3665,2016-12-31 23:40:49.000000
62,S1B_EW_RAW__0SDV_20161231T234044_20161231T234154_003647_00640C_372C-METADATA_RAW,Sentinel-1B,ASCENDING,46.614,-88.4297,2016-12-31 23:40:44.000000
63,S1B_EW_RAW__0SDV_20161231T234044_20161231T234154_003647_00640C_372C-RAW,Sentinel-1B,ASCENDING,46.614,-88.4297,2016-12-31 23:40:44.000000
64,S1B_EW_RAW__0SDV_20161231T233944_20161231T234053_003647_00640C_37D7-METADATA_RAW,Sentinel-1B,ASCENDING,42.9503,-87.482,2016-12-31 23:39:44.000000
65,S1B_EW_RAW__0SDV_20161231T233944_20161231T234053_003647_00640C_37D7-RAW,Sentinel-1B,ASCENDING,42.9503,-87.482,2016-12-31 23:39:44.000000
66,S1B_EW_GRDM_1SDV_20161231T233944_20161231T234049_003647_00640C_5A36-GRD_MD,Sentinel-1B,ASCENDING,43.0187,-87.3296,2016-12-31 23:39:44.000000
67,S1B_EW_GRDM_1SDV_20161231T233944_20161231T234049_003647_00640C_5A36-METADATA_GRD_MD,Sentinel-1B,ASCENDING,43.0187,-87.3296,2016-12-31 23:39:44.000000
68,S1B_IW_GRDH_1SSV_20161231T232753_20161231T232828_003646_00640B_F02B-GRD_HS,Sentinel-1B,ASCENDING,-0.6423,-77.4121,2016-12-31 23:27:53.000000
69,S1B_IW_GRDH_1SSV_20161231T232753_20161231T232828_003646_00640B_F02B-METADATA_GRD_HS,Sentinel-1B,ASCENDING,-0.6423,-77.4121,2016-12-31 23:27:53.000000
70,S1B_IW_RAW__0SSV_20161231T232749_20161231T232828_003646_00640B_7709-METADATA_RAW,Sentinel-1B,ASCENDING,-1.0811,-77.5118,2016-12-31 23:27:49.000000
71,S1B_IW_RAW__0SSV_20161231T232749_20161231T232828_003646_00640B_7709-RAW,Sentinel-1B,ASCENDING,-1.0811,-77.5118,2016-12-31 23:27:49.000000
72,S1B_IW_SLC__1SSV_20161231T232752_20161231T232828_003646_00640B_1420-METADATA_SLC,Sentinel-1B,ASCENDING,-0.677,-77.4122,2016-12-31 23:27:52.000000
73,S1B_IW_SLC__1SSV_20161231T232752_20161231T232828_003646_00640B_1420-SLC,Sentinel-1B,ASCENDING,-0.677,-77.4122,2016-12-31 23:27:52.000000
74,S1A_IW_GRDH_1SDV_20161231T232745_20161231T232814_014630_017C9B_DDAA-GRD_HD,Sentinel-1A,DESCENDING,5.4577,94.4731,2016-12-31 23:27:45.000000
75,S1A_IW_GRDH_1SDV_20161231T232745_20161231T232814_014630_017C9B_DDAA-METADATA_GRD_HD,Sentinel-1A,DESCENDING,5.4577,94.4731,2016-12-31 23:27:45.000000
76,S1A_IW_RAW__0SDV_20161231T232745_20161231T232814_014630_017C9B_8E83-METADATA_RAW,Sentinel-1A,DESCENDING,5.1488,94.5613,2016-12-31 23:27:45.000000
77,S1A_IW_RAW__0SDV_20161231T232745_20161231T232814_014630_017C9B_8E83-RAW,Sentinel-1A,DESCENDING,5.1488,94.5613,2016-12-31 23:27:45.000000
78,S1A_IW_SLC__1SDV_20161231T232744_20161231T232814_014630_017C9B_9780-METADATA_SLC,Sentinel-1A,DESCENDING,5.4578,94.4715,2016-12-31 23:27:44.000000
79,S1A_IW_SLC__1SDV_20161231T232744_20161231T232814_014630_017C9B_9780-SLC,Sentinel-1A,DESCENDING,5.4578,94.4715,2016-12-31 23:27:44.000000
80,S1B_IW_RAW__0SSV_20161231T232724_20161231T232757_003646_00640B_CF0F-METADATA_RAW,Sentinel-1B,ASCENDING,-2.7718,-77.1466,2016-12-31 23:27:24.000000
81,S1B_IW_RAW__0SSV_20161231T232724_20161231T232757_003646_00640B_CF0F-RAW,Sentinel-1B,ASCENDING,-2.7718,-77.1466,2016-12-31 23:27:24.000000
82,S1B_IW_SLC__1SSV_20161231T232727_20161231T232754_003646_00640B_3F63-METADATA_SLC,Sentinel-1B,ASCENDING,-2.46,-77.058,2016-12-31 23:27:27.000000
83,S1B_IW_SLC__1SSV_20161231T232727_20161231T232754_003646_00640B_3F63-SLC,Sentinel-1B,ASCENDING,-2.46,-77.058,2016-12-31 23:27:27.000000
84,S1B_IW_GRDH_1SSV_20161231T232728_20161231T232753_003646_00640B_7815-GRD_HS,Sentinel-1B,ASCENDING,-2.4592,-77.0422,2016-12-31 23:27:28.000000
85,S1B_IW_GRDH_1SSV_20161231T232728_20161231T232753_003646_00640B_7815-METADATA_GRD_HS,Sentinel-1B,ASCENDING,-2.4592,-77.0422,2016-12-31 23:27:28.000000
86,S1B_IW_RAW__0SSV_20161231T232659_20161231T232732_003646_00640B_74B7-METADATA_RAW,Sentinel-1B,ASCENDING,-4.2799,-76.8165,2016-12-31 23:26:59.000000
87,S1B_IW_RAW__0SSV_20161231T232659_20161231T232732_003646_00640B_74B7-RAW,Sentinel-1B,ASCENDING,-4.2799,-76.8165,2016-12-31 23:26:59.000000
88,S1B_IW_SLC__1SSV_20161231T232702_20161231T232729_003646_00640B_0C4F-METADATA_SLC,Sentinel-1B,ASCENDING,-3.9597,-76.7409,2016-12-31 23:27:02.000000
89,S1B_IW_SLC__1SSV_20161231T232702_20161231T232729_003646_00640B_0C4F-SLC,Sentinel-1B,ASCENDING,-3.9597,-76.7409,2016-12-31 23:27:02.000000
90,S1B_IW_GRDH_1SSV_20161231T232703_20161231T232728_003646_00640B_BE2A-GRD_HS,Sentinel-1B,ASCENDING,-3.9697,-76.724,2016-12-31 23:27:03.000000
91,S1B_IW_GRDH_1SSV_20161231T232703_20161231T232728_003646_00640B_BE2A-METADATA_GRD_HS,Sentinel-1B,ASCENDING,-3.9697,-76.724,2016-12-31 23:27:03.000000
92,S1B_IW_RAW__0SSV_20161231T232634_20161231T232707_003646_00640B_B05D-METADATA_RAW,Sentinel-1B,ASCENDING,-5.7872,-76.4824,2016-12-31 23:26:34.000000
93,S1B_IW_RAW__0SSV_20161231T232634_20161231T232707_003646_00640B_B05D-RAW,Sentinel-1B,ASCENDING,-5.7872,-76.4824,2016-12-31 23:26:34.000000
94,S1B_IW_SLC__1SSV_20161231T232638_20161231T232705_003646_00640B_A8B0-METADATA_SLC,Sentinel-1B,ASCENDING,-5.4566,-76.4082,2016-12-31 23:26:38.000000
95,S1B_IW_SLC__1SSV_20161231T232638_20161231T232705_003646_00640B_A8B0-SLC,Sentinel-1B,ASCENDING,-5.4566,-76.4082,2016-12-31 23:26:38.000000
96,S1B_IW_GRDH_1SSV_20161231T232638_20161231T232703_003646_00640B_BEAC-GRD_HS,Sentinel-1B,ASCENDING,-5.4772,-76.3903,2016-12-31 23:26:38.000000
97,S1B_IW_GRDH_1SSV_20161231T232638_20161231T232703_003646_00640B_BEAC-METADATA_GRD_HS,Sentinel-1B,ASCENDING,-5.4772,-76.3903,2016-12-31 23:26:38.000000
98,S1B_IW_RAW__0SSV_20161231T232609_20161231T232642_003646_00640B_CAE0-METADATA_RAW,Sentinel-1B,ASCENDING,-7.2936,-76.1439,2016-12-31 23:26:09.000000
99,S1B_IW_RAW__0SSV_20161231T232609_20161231T232642_003646_00640B_CAE0-RAW,Sentinel-1B,ASCENDING,-7.2936,-76.1439,2016-12-31 23:26:09.000000
