platform,flightDirection,centerLat,centerLon,processingLevel,geometry
Sentinel-1A,ASCENDING,-9.7033,115.7228,METADATA_RAW,POINT (115.7228 -9.7033)
Sentinel-1A,ASCENDING,-9.7033,115.7228,RAW,POINT (115.7228 -9.7033)
Sentinel-1A,DESCENDING,6.6192,12.4177,GRD_HD,POINT (12.4177 6.6192)
Sentinel-1A,DESCENDING,6.6192,12.4177,METADATA_GRD_HD,POINT (12.4177 6.6192)
Sentinel-1A,DESCENDING,6.4346,12.5419,METADATA_RAW,POINT (12.5419 6.4346)
Sentinel-1A,DESCENDING,6.4346,12.5419,RAW,POINT (12.5419 6.4346)
Sentinel-1A,DESCENDING,6.6553,12.426,METADATA_SLC,POINT (12.426 6.6553)
Sentinel-1A,DESCENDING,6.6553,12.426,SLC,POINT (12.426 6.6553)
Sentinel-1A,DESCENDING,7.5713,12.7748,METADATA_RAW,POINT (12.7748 7.5713)
Sentinel-1A,DESCENDING,7.5713,12.7748,RAW,POINT (12.7748 7.5713)
Sentinel-1A,DESCENDING,7.8762,12.6753,GRD_HD,POINT (12.6753 7.8762)
Sentinel-1A,DESCENDING,7.8762,12.6753,METADATA_GRD_HD,POINT (12.6753 7.8762)
Sentinel-1A,DESCENDING,7.8796,12.6788,METADATA_SLC,POINT (12.6788 7.8796)
Sentinel-1A,DESCENDING,7.8796,12.6788,SLC,POINT (12.6788 7.8796)
Sentinel-1A,DESCENDING,9.0829,13.0836,METADATA_RAW,POINT (13.0836 9.0829)
Sentinel-1A,DESCENDING,9.0829,13.0836,RAW,POINT (13.0836 9.0829)
Sentinel-1A,DESCENDING,9.3786,12.9874,METADATA_SLC,POINT (12.9874 9.3786)
Sentinel-1A,DESCENDING,9.3786,12.9874,SLC,POINT (12.9874 9.3786)
Sentinel-1A,DESCENDING,9.3861,12.9844,GRD_HD,POINT (12.9844 9.3861)
Sentinel-1A,DESCENDING,9.3861,12.9844,METADATA_GRD_HD,POINT (12.9844 9.3861)
Sentinel-1A,DESCENDING,10.5948,13.3909,METADATA_RAW,POINT (13.3909 10.5948)
Sentinel-1A,DESCENDING,10.5948,13.3909,RAW,POINT (13.3909 10.5948)
Sentinel-1A,DESCENDING,10.8788,13.2881,METADATA_SLC,POINT (13.2881 10.8788)
Sentinel-1A,DESCENDING,10.8788,13.2881,SLC,POINT (13.2881 10.8788)
Sentinel-1A,DESCENDING,10.8964,13.2907,GRD_HD,POINT (13.2907 10.8964)
Sentinel-1A,DESCENDING,10.8964,13.2907,METADATA_GRD_HD,POINT (13.2907 10.8964)
Sentinel-1A,DESCENDING,12.1068,13.6971,METADATA_RAW,POINT (13.6971 12.1068)
Sentinel-1A,DESCENDING,12.1068,13.6971,RAW,POINT (13.6971 12.1068)
Sentinel-1A,DESCENDING,12.4068,13.5974,METADATA_SLC,POINT (13.5974 12.4068)
Sentinel-1A,DESCENDING,12.4068,13.5974,SLC,POINT (13.5974 12.4068)
Sentinel-1A,DESCENDING,12.4064,13.597,GRD_HD,POINT (13.597 12.4064)
Sentinel-1A,DESCENDING,12.4064,13.597,METADATA_GRD_HD,POINT (13.597 12.4064)
Sentinel-1A,DESCENDING,13.6191,14.0022,METADATA_RAW,POINT (14.0022 13.6191)
Sentinel-1A,DESCENDING,13.6191,14.0022,RAW,POINT (14.0022 13.6191)
Sentinel-1A,DESCENDING,14.0385,13.9244,GRD_HD,POINT (13.9244 14.0385)
Sentinel-1A,DESCENDING,14.0385,13.9244,METADATA_GRD_HD,POINT (13.9244 14.0385)
Sentinel-1A,DESCENDING,14.0148,13.9212,METADATA_SLC,POINT (13.9212 14.0148)
Sentinel-1A,DESCENDING,14.0148,13.9212,SLC,POINT (13.9212 14.0148)
